vidid, AestheticScore
MOyPQRwZjgU, 4.337043667212129
Bdfz6I_C1H8, 4.965069756144658
i1OgFaAwmJU, 4.970632891752757
hhoebDu3xI4, 5.108640405582264
yM_ZjBlBrGU, 5.3177329851314425
Vyru8aZpwWw, 5.158693537814543
a3P1qIqGtRw, 3.3854163283249363
ZjOj9xQWnuA, 4.928333733230829
O4c6ipJ6Ff0, 5.0692442013532855
9VJQtwK_QvU, 4.603282235562801
52Deq7sOdgs, 5.042402006685734
r0dQH1YvLqA, 4.543411026708782
jYf7nr-9Xp0, 4.249825323931873
e2h_BreIxaQ, 5.439816364319995
QfS4OnNGo8g, 5.37551242520567
1clOfsJVO6k, 4.386091279797256
bXzBCmU-E9w, 4.41614328417927
rTHcj0mSJGI, 5.088345718104392
_AoGNiiKbgQ, 4.409519033666584
AlNu1chIi_c, 5.097688958980143
kWT_jJ9gIck, 5.08543610246852
4kVESol6fDY, 4.8935697646811604
09k9rJ6nme8, 5.16674730880186
BJKasD7bevY, 5.148115654010326
WZBnoVVBay8, 4.862093098461628
7sj6Gpk3ab4, 4.794292325619608
YIUkACtQkQs, 5.034465236123651
QmOF0crdyRU, 4.961516669020057
_pKmXJRPGkc, 5.017107282299548
slUCmZJDXrk, 4.946252785623074
2fRf7hUiynA, 5.199072713032365
w3s1awGu1-M, 5.138377251569182
SAx2-SgbC9w, 5.099345211405307
35ynI9gtWwM, 4.8452675165608525
iR16mp-ILnM, 5.227693811058998
bgV26ol51UM, 5.338363775983453
Hf273uCVHvE, 4.0226952825905755
nsfF5H317fM, 5.31773960404098
aNjoOja4QhE, 5.24188542785123
JNaN6lRbEr0, 5.025341059081256
4hhj_Y3B54M, 5.34059539437294
eLWdrlMT5Hg, 5.106417797738686
LATcwQN373w, 4.26582347418298
-a8SYQbMF2k, 5.1167746430728585
ic4R2j798l4, 4.379040070809424
PgRLWJBNa94, 4.610976406780537
3oPrDaW16oY, 5.052306440193206
a6cepxKxNK8, 4.782138674985617
QOWF0KTNu2g, 5.113374823704362
XkHCMuHXlFU, 5.08091573510319
4XRl_k5pJiI, 5.190903707640246
KylJ2v1_c-o, 5.165101556107402
6qnP9Wygr3U, 4.8896140698343515
hEbhlxF29BM, 5.318570397561416
GRAE1rfQZTU, 5.075932786683552
faZMjnanBDo, 5.507897796109319
jRL0DiS1QtI, 5.497538876486942
qVhj4-F1v0g, 4.903642943128943
7yCTpDPEHtI, 5.129433452617377
rYvIKWVaZtQ, 5.343466043006629
