,0
1189,12473
1190,10727
1191,7369
1192,7739
1193,10722
1194,10681
1195,31725
1196,10533
1197,7390
1198,10083
1199,10316
1200,41293
1201,23305
1202,9543
1203,27298
1204,32038
1205,29569
1206,47603
1207,38713
1208,33090
1209,8244
1210,22976
1211,42062
1212,44891
1213,38710
1214,35301
1215,40569
1216,29712
1217,28580
1218,40061
1219,14599
1220,12528
1221,25841
1222,14477
1223,10457
1224,12397
1225,13042
1226,12024
1227,13899
1228,16550
1229,12972
1230,12820
1231,13131
1232,12288
1233,18969
1234,16098
1235,15798
1236,11798
1237,11798
1238,12231
1239,12748
1240,17924
1241,17899
1242,16116
1243,14825
1244,12767
1245,17698
1246,11952
1247,18302
1248,15002
1249,14766
1250,15443
1251,29923
1252,12178
1253,37634
1254,16796
1255,18871
1256,15763
1257,16087
1258,8505
1259,22682
1260,26770
1261,32628
1262,34428
1263,37483
1264,25962
1265,29720
1266,21464
1267,27301
1268,9320
1269,47058
1270,9361
1271,18850
1272,15254
1273,38871
1274,31702
1275,44731
1276,27244
1277,35218
1278,44447
1279,28146
1280,23370
1281,10298
1282,16555
1283,19004
1284,14672
1285,13685
1286,14825
1287,33610
1288,13143
1289,25571
1290,12995
1291,33234
1292,30934
1293,31988
1294,12084
1295,17786
1296,13762
1297,19687
1298,20034
1299,14306
1300,19725
1301,18537
1302,17276
1303,11660
1304,21562
1305,20540
1306,21441
1307,32981
1308,38057
1309,18116
1310,11184
1311,10006
1312,30535
1313,16894
1314,13644
1315,26803
1316,50251
1317,34259
1318,30800
1319,17580
1320,22176
1321,32822
1322,54356
1323,39419
1324,29385
1325,22850
1326,11693
1327,35590
1328,22105
1329,15691
1330,10675
1331,28458
1332,48508
1333,63009
1334,25737
1335,51168
1336,52191
1337,54752
1338,23806
1339,11074
1340,36720
1341,20645
1342,24554
1343,26897
1344,12966
1345,9090
1346,25708
1347,7279
1348,29470
1349,8807
1350,37233
1351,28846
1352,14719
1353,28682
1354,29442
1355,38668
1356,34394
1357,39028
1358,34776
1359,36500
1360,9039
1361,31462
1362,17884
1363,32057
1364,3206
1365,16264
1366,37834
1367,6307
1368,9061
1369,10101
1370,16475
1371,10526
1372,14420
1373,16785
1374,36150
1375,6615
1376,9638
1377,7986
1378,14663
1379,8738
1380,9028
1381,12133
1382,11228
1383,5083
1384,17198
1385,9263
1386,35638
1387,10352
1388,35871
1389,7950
1390,8700
1391,9903
1392,5132
1393,10190
1394,6327
1395,6981
1396,3413
1397,9878
1398,12377
1399,6830
1400,10127
1401,11383
1402,18661
1403,11778
1404,19478
1405,7201
1406,10907
1407,13549
1408,27672
1409,9952
1410,13148
1411,8688
1412,23903
1413,8895
1414,33379
1415,22948
1416,24192
1417,12612
1418,9301
1419,22991
1420,14955
1421,7712
1422,8249
1423,9450
1424,9406
1425,8988
1426,10662
1427,10739
1428,9929
1429,10228
1430,9382
1431,9568
1432,7803
1433,11067
1434,10145
1435,10249
1436,9338
1437,9125
1438,8851
1439,20892
1440,21524
1441,24811
1442,24668
1443,16067
1444,55832
1445,23618
1446,24054
1447,48853
1448,62621
