,vidid,title_text,title_length,tmb_text,tmb_length,composite_sentiment
134,fcxjwA4C4Cw,Dr. Robin Carhart-Harris: The Science of Psychedelics for Mental Health | Huberman Lab Podcast,94,PSYCHEDELICS FOR MENTAL HEALTE CARHART-HARRIS DR ROBIN huberman lab,67,0.0
135,iMvtHqLmEkI,Dr. Duncan French: How to Exercise for Strength Gains & Hormone Optimization | Huberman Lab #45,95,STRENGTE HORIMONES & PERFORIMANCE with DR. DUNCAN FRENCH HUBERMAN LAB per rny ute inst,86,0.2135
136,Nr5xb-QCBGA,Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91,100,COMPULSIVE EATING 8 BEHAVIORS HALPERN DR. CASEY huberman lab,60,0.0
137,slUCmZJDXrk,The Science of MDMA & Its Therapeutic Uses: Benefits & Risks | Huberman Lab Podcast,83,MDMA: BENEFITS RISKS HUBERMAN lab,33,0.044499999999999956
138,Rxmv7rT9leo,"Ketamine: Benefits and Risks for Depression, PTSD & Neuroplasticity | Huberman Lab Podcast",90,KETAMINE: BENEFITS 8 RISKS HUBERMAN lab,39,-0.06999999999999998
139,HoH93judXmE,"AMA #9: Kratom Risks, Does Infrared Sauna Work & Journaling Benefits",68,AMA EPISODE C HUBERMAI LAB,26,0.01999999999999999
140,wX75Z-4MEoM,"you need to learn Virtual Machines RIGHT NOW!! (Kali Linux VM, Ubuntu, Windows)",79,KALL Machines Virtual,21,0.0
141,bXCeFPNWjsM,how to get remote access to your hacking targets // reverse shells with netcat (Windows and Linux!!),100,REVERSE SHELL  ,15,0.0
142,S7MNX_UD7vY,FREE CCNA // What is a Network? // Day 0,40,FREE CCNA Complete Course,25,0.2865
143,W2tTsjkX76o,make CRAZY money in tech (top 5 Entry-Level Certs),50,TOP CERTS 2022 OF ENTRY-LEVEL cometa aiwc evis etmed PenTes actitioner cloud CiSco comet CCNA POTIA at Security,111,-0.036500000000000005
144,xBIowQ0WaR8,build your own cloud,20,口,1,0.0
145,U7e-mcJdZok,create the ULTIMATE hacking lab in 5min!! (Docker Containers STREAMING Kali Linux to your browser),98,ULTIMATE 自目自自目 KALI HACKING GWORKSPACE,38,0.139
146,EywIAz8fPnY,CompTIA or Cisco? - Should I get the CompTIA A+/Network+ OR the Cisco CCNA/CCENT - Microsoft MCSA?,98,CompTIA CISCO CERTIFIED A + CCENT NETWORK CompTIA 0 Network CERTIFIE CCNA CERTIFIED MCSA ROUTINGS,97,0.0
147,e2h_BreIxaQ,HACK your way into a job (no experience required),49,YOU'RE GET JOB A no experience,30,0.133
148,iX0HbrfRyvc,learning Docker is HARD!! (this makes it easy),46,D,1,-0.14
149,799uhYUxtvA,build your own browser (crazy SECURE),37,WORLD'S MOST SECURE BROWSER e yourseif) (build in,49,0.2045
150,dfEWw95coak,7 CCNA CCNP Study Tips for the New Year - 2017!!,48,Study Tips CISCO CISCO CERTIFIED CERTIFIED CCNA CCNP ROUTING& ROUTING& SWITCHING SW,83,0.0
151,jdTwCSxNINA,deleting stuff from Python Lists // Python RIGHT NOW!! // EP 9,62,56 Destroy l d cc Python ta Da python RIGH NOW! TNT ep 1,56,-0.1375
152,_ZCv6fROPTg,what is an SQL Injection?,25,nan,0,0.0
153,Rxx3UtLn15g,how to become a Network Developer at Amazon (AWS),49,Aws S Network Developer CBTnuets,32,0.0
154,Zlc12P4F51c,How Long Does It Take to Become a Network Engineer? - CCNA | CCNP,65,10 Christmas Days of How does take? long it + become a Network Engineer,71,0.0
155,7FERCp7AtXg,i'm feeling stupid today,24,feel stupid,11,-0.3865
156,N-YNANU4fOo,you DO NOT need College / University!!,38,YOU DO NOT NEED diploma COLLEGE (university d,45,0.0
157,7UkkrNoZUwU,"Using Arduino, Raspberry Pi and Python to Monitor Cisco Router - #DEVNET CCNA",77,Monitoring CISCO ARDUINO,24,0.0
158,8pbu-uJlJ9E,Add a Hunt Group Login/Logout Button to a Cisco Phone - NetworkChuck,68,03/13/16 03 59pm Rick Grimes c Hunt Group Redial New cal,56,-0.091
159,epgVJT9Wa-k,WHO WON? - CCNA GiveAWAY - INE BUNDLE!!,39,CISCO CERTIFIED CCNA ROUTING& GIVEAWAY ENTER WIN!,49,0.453
160,9mwXltguBWY,This turns your DESK into a wireless charger!,45,IDO NOT wannause,16,0.0
161,uWUHkCgslNE,This AI actually WORKS!!! - NVIDIA RTX Voice,44,UM,2,0.0
162,rdMtOPQLqyE,I FINALLY got one!! - Samsung Galaxy Z Fold2 First Impressions,62,nan,0,0.131
163,7gan3O3PHx8,Is this what Millennials want? - Lenovo Thinkpad Z13 (2022),59,ThinkPad Z13,12,0.07
164,z5ckEKYvUts,Samsung made an Apple iPad - Tab S8 Ultra,41,SAMSUNG TAB S8 ULTRA,20,0.0
165,4XRl_k5pJiI,Trick your boss into buying one of these! - MSI Stealth GS77 and Vector GP66,76,nan,0,0.1395
166,BqD0CKKyRyE,It's so BIG! - Xiaomi Mi 11 Ultra,33,nan,0,0.0
167,iJ02ZNYX7O4,I wish this wasn't sponsored (because it's so good) - Bambu Lab P1P,67,nan,0,0.0
168,M4o3E1Yjvp8,Is it worth the premium price? - Sony X95K,42,SONY X95K,9,0.1845
169,eY5AQhEeTc0,What is a GAMING Speaker? - LG UltraGear GP9,44,Gaming Speaker UltraGear,24,0.0
170,IBOB-wS19yE,Are Glass Mousepads BETTER? ...Maybe - Skypad,45,GLASS!,6,0.2105
171,gX3KV42qXs0,It's like steroids for your phone! - NexDock Wireless,53,android 20- DO,14,0.1875
172,_s7o66tSnDo,This phone is SO CLOSE. - Sony Xperia 5 IV,42,Xperia5IV,9,0.0
173,2CrnPY-7q_I,You BROKE my ❤️ - OnePlus 10 Pro,32,10 PRO,6,-0.1855
174,t8Us8iocRh4,The gaming keyboard you should actually buy - Wooting 60HE,58,ROL,3,0.0
175,aJzo3Gr1uZU,This gaming mouse weighs 23 grams! - Zaunkoenig M1K,51,nan,0,0.1125
176,nkjy_5_cuXc,A BIG upgrade! - Prusa MK4,26,PRUSAMK4,8,0.0
177,oCF8B_DS4vI,I couldn’t NOT show you guys this stuff - Random Tech @ Computex 2023,69,RGB SHOES,9,0.0
178,ic4R2j798l4,Take your retro gaming setup to the NEXT LEVEL!,47,L OF THE,8,0.0
179,xd6kGOrXyDY,This Toothbrush tracks your teeth...,36,nan,0,0.0
180,jJL0XoNBaac,The Assassin's Teapot Is Weird,30,ASSASSIN'S TEAPOT,17,-0.149
181,3AXupc7oE-g,Pop-Pop Boats Are Weirder Than You Think,40,POP! POP!,9,-0.1
182,TNuzi-jMXoY,The Band Should Slip Off But It Does The Opposite!,50,STAULEY THIS SHOULDNZ WORK,26,0.0
183,MUJmKl7QfDU,What If Swings Had Springs Instead Of Ropes: Autoparametric Resonance,69,PARAMETRIC RESONANCE ISWEIRD,28,-0.149
184,w2iTCm0xpDc,A better description of entropy,31,nan,0,0.246
185,BwfkZ38sae0,Why my dog doesn’t like our plasma lighter,42,nan,0,0.1315
186,u5InZ6iknUM,Sailing Faster Than The Wind - How Is That Even Possible?,57,SAIL FASTER THAN WIND,21,0.0
187,JiC6DbBoV4Y,The object we thought was impossible,36,THOUGHT THEY THIS DIDN'T EXIST,30,-0.1665
188,qwPg2Dmh-6k,The Bizarre Way We Track Fake Virus Particles That Shouldn't Work,65,OPEN THIS WINDOW TOSAVE LIIVES,30,-0.1875
189,CqB95rj_txI,Interaural time difference and how to find your phone instantly,63,nan,0,0.0
190,8bXhsUs-ohw,How to film the inside of a microwave (2 ways),46,nan,0,0.0
191,3X6qEE2fHvE,12 magnets show how viruses are built,37,IRUSES ces RUSES r self ASSEMBL,31,0.0
192,BgBh4Pb9Z4Q,How ice water makes hot water boil,34,ICE WATER MAKES ITBOIL,22,0.0
193,RKjovflET48,Shine a laser through the new £5 note,37,5NOTELASER TRICK 5 AJ57012962,29,-0.1875
194,w0VA9kbIL3g,Why a Watch Beep Is Exactly 2¹¹ Hz (2048 Hz),44,BEEP E19P 10:084 2048Hz,23,0.0
195,gEu0Fnt0VbM,The Mad Hatterpillar,20,TOWER OFOLD HEADS,17,-0.3075
196,S7yZkHz4KLw,How an Ames Room works,22,EAT ME,6,0.0
197,3wKNAPJ-0ug,What happens when you heat a plastic cup?,41,nan,0,0.0
198,JuGiZdxR2pU,reaLD 3D glasses filter with a linear polarising filter,55,AddNPeSFT SHIFT_beep AddNewP Poite How3Dcinem Add New pn ,57,0.0
199,0BvEUmpnp9Q,Steve Mould on Blue Peter,25,nan,0,0.0
200,P8OopBgony4,iPhone X vs Samsung Galaxy Note 8,33,18,2,0.0
201,JMExFdJknt8,"Best Smartphones of 2020 YOUTUBER Edition ft. MKBHD, Linus Tech Tips, Austin Evans + More",89,ARDI 8 $20,10,0.122
